chr - HF1 1 0 1780870 chr1
band HF1 dark dark 1 43200 gpos25
band HF1 light light 43201 86400 gneg
band HF1 dark dark 86401 129600 gpos25
band HF1 light light 129601 172800 gneg
band HF1 dark dark 172801 216000 gpos25
band HF1 light light 216001 259200 gneg
band HF1 dark dark 259201 302400 gpos25
band HF1 light light 302401 345600 gneg
band HF1 dark dark 345601 388800 gpos25
band HF1 light light 388801 432000 gneg
band HF1 dark dark 432001 475200 gpos25
band HF1 light light 475201 518400 gneg
band HF1 dark dark 518401 561600 gpos25
band HF1 light light 561601 604800 gneg
band HF1 dark dark 604801 648000 gpos25
band HF1 light light 648001 691200 gneg
band HF1 dark dark 691201 734400 gpos25
band HF1 light light 734401 777600 gneg
band HF1 dark dark 777601 820800 gpos25
band HF1 light light 820801 864000 gneg
band HF1 dark dark 864001 907200 gpos25
band HF1 light light 907201 950400 gneg
band HF1 dark dark 950401 993600 gpos25
band HF1 light light 993601 1036800 gneg
band HF1 dark dark 1036801 1080000 gpos25
band HF1 light light 1080001 1123200 gneg
band HF1 dark dark 1123201 1166400 gpos25
band HF1 light light 1166401 1209600 gneg
band HF1 dark dark 1209601 1252800 gpos25
band HF1 light light 1252801 1296000 gneg
band HF1 dark dark 1296001 1339200 gpos25
band HF1 light light 1339201 1382400 gneg
band HF1 dark dark 1382401 1425600 gpos25
band HF1 light light 1425601 1468800 gneg
band HF1 dark dark 1468801 1512000 gpos25
band HF1 light light 1512001 1555200 gneg
band HF1 dark dark 1555201 1598400 gpos25
band HF1 light light 1598401 1641600 gneg
band HF1 dark dark 1641601 1684800 gpos25
band HF1 light light 1684801 1728000 gneg
band HF1 dark dark 1728001 1771200 gpos25
band HF1 light light 1771201 1780870 gneg
