CAGE	Caption	Channel	Duration	EndL	EndT	File	Index	InterTime	Name	Nature	SlotI	StartL	StartT	Type	Value	Velocity	linen	period
3	Drink 1	Intake 1	23	1840	1335959848	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	50	NA	WWSS	water	1	1817	1335959825	1	0.02	0.000869565217391304	6783	1
3	Food 1	Intake 3	68	2168	1335960176	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	87	16871	WWSS	food_sc	3	2100	1335960108	1	0.02	0.000294117647058824	6784	1
3	Drink 2	Intake 2	22	2778	1335960786	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	450	NA	WWSS	water	2	2756	1335960764	1	0.02	0.000909090909090909	6785	1
3	Drink 2	Intake 2	46	12232	1335970240	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	478	NA	WWSS	water	2	12186	1335970194	1	0.02	0.000434782608695652	6786	1
3	Food 2	Intake 4	329	19368	1335977376	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	333	112	WWSS	food_sc	4	19039	1335977047	1	0.04	0.000121580547112462	6787	1
3	Food 2	Intake 4	44	19524	1335977532	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	334	15	WWSS	food_sc	4	19480	1335977488	1	0.04	0.000909090909090909	6788	1
3	Food 2	Intake 4	49	19588	1335977596	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	335	32	WWSS	food_sc	4	19539	1335977547	1	0.04	0.000816326530612245	6789	1
3	Food 2	Intake 4	192	19812	1335977820	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	336	4207	WWSS	food_sc	4	19620	1335977628	1	0.06	0.0003125	6790	1
3	Drink 1	Intake 1	28	19929	1335977937	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	61	NA	WWSS	water	1	19901	1335977909	1	0.04	0.00142857142857143	6791	1
3	Drink 1	Intake 1	37	19986	1335977994	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	62	NA	WWSS	water	1	19949	1335977957	1	0.02	0.000540540540540541	6792	1
3	Drink 2	Intake 2	24	20854	1335978862	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	486	NA	WWSS	water	2	20830	1335978838	1	0.02	0.000833333333333333	6793	1
3	Drink 2	Intake 2	44	20925	1335978933	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	487	NA	WWSS	water	2	20881	1335978889	1	0.04	0.000909090909090909	6794	1
3	Drink 2	Intake 2	30	21864	1335979872	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	488	NA	WWSS	water	2	21834	1335979842	1	0.02	0.000666666666666667	6795	1
3	Drink 2	Intake 2	27	21980	1335979988	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	490	NA	WWSS	water	2	21953	1335979961	1	0.02	0.000740740740740741	6796	1
3	Food 2	Intake 4	348	24367	1335982375	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	339	1246	WWSS	food_sc	4	24019	1335982027	1	0.06	0.000172413793103448	6797	1
3	Drink 1	Intake 1	18	24509	1335982517	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	64	NA	WWSS	water	1	24491	1335982499	1	0.04	0.00222222222222222	6798	1
3	Food 2	Intake 4	368	25981	1335983989	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	340	530	WWSS	food_sc	4	25613	1335983621	1	0.12	0.000326086956521739	6799	1
3	Drink 2	Intake 2	22	26051	1335984059	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	494	NA	WWSS	water	2	26029	1335984037	1	0.08	0.00363636363636364	6800	1
3	Drink 2	Intake 2	57	26144	1335984152	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	495	NA	WWSS	water	2	26087	1335984095	1	0.04	0.000701754385964912	6801	1
3	Food 2	Intake 4	141	26652	1335984660	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	344	281	WWSS	food_sc	4	26511	1335984519	1	0.04	0.000283687943262411	6802	1
3	Drink 2	Intake 2	22	26701	1335984709	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	499	NA	WWSS	water	2	26679	1335984687	1	0.08	0.00363636363636364	6803	1
3	Food 2	Intake 4	89	27022	1335985030	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	345	4	WWSS	food_sc	4	26933	1335984941	1	0.06	0.000674157303370786	6804	1
3	Food 2	Intake 4	223	27249	1335985257	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	346	827	WWSS	food_sc	4	27026	1335985034	1	0.08	0.000358744394618834	6805	1
3	Drink 2	Intake 2	28	27526	1335985534	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	501	NA	WWSS	water	2	27498	1335985506	1	0.08	0.00285714285714286	6806	1
3	Food 2	Intake 4	169	28245	1335986253	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	349	1188	WWSS	food_sc	4	28076	1335986084	1	0.0399999999999999	0.000236686390532544	6807	1
3	Drink 2	Intake 2	36	28304	1335986312	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	503	NA	WWSS	water	2	28268	1335986276	1	0.1	0.00277777777777778	6808	1
3	Drink 2	Intake 2	27	28743	1335986751	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	506	NA	WWSS	water	2	28716	1335986724	1	0.04	0.00148148148148148	6809	1
3	Food 2	Intake 4	358	29791	1335987799	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	350	5	WWSS	food_sc	4	29433	1335987441	1	0.0600000000000001	0.000167597765363129	6810	1
3	Food 2	Intake 4	45	29841	1335987849	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	351	516	WWSS	food_sc	4	29796	1335987804	1	0.02	0.000444444444444444	6811	1
3	Drink 2	Intake 2	63	29900	1335987908	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	507	NA	WWSS	water	2	29837	1335987845	1	0.12	0.0019047619047619	6812	1
3	Food 1	Intake 3	371	30728	1335988736	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	103	1347	WWSS	food_sc	3	30357	1335988365	1	0.06	0.000161725067385445	6813	1
3	Drink 2	Intake 2	12	30822	1335988830	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	511	NA	WWSS	water	2	30810	1335988818	1	0.0599999999999999	0.00499999999999999	6814	1
